,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
37,ECs_0002,HW372_19960,99.512,820,4,0,1,820,1,820,0.0,1677.0,820,1.0,<=>
38,ECs_0003,HW372_19955,99.355,310,2,0,1,310,1,310,0.0,639.0,310,1.0,<=>
39,ECs_0004,HW372_19950,99.533,428,2,0,1,428,1,428,0.0,878.0,428,1.0,<=>
40,ECs_0005,HW372_19945,88.0,100,8,2,1,98,1,98,7.490000000000001e-58,170.0,98,1.0204081632653061,<=>
41,ECs_0006,HW372_19940,99.612,258,1,0,1,258,1,258,0.0,530.0,258,1.0,<=>
42,ECs_0007,HW372_19935,97.899,476,10,0,1,476,1,476,0.0,940.0,476,1.0,<=>
43,ECs_0008,HW372_19930,99.685,317,1,0,1,317,1,317,0.0,648.0,317,1.0,<=>
44,ECs_0009,HW372_19925,99.487,195,1,0,1,195,1,195,7.010000000000001e-144,395.0,195,1.0,<=>
45,ECs_0010,HW372_19920,99.468,188,1,0,1,188,1,188,7.330000000000001e-132,364.0,188,1.0,<=>
46,ECs_0012,HW372_19915,98.734,237,3,0,1,237,1,237,8.8e-176,479.0,237,1.0,<=>
47,ECs_0013,HW372_19910,94.776,134,7,0,1,134,1,134,2.36e-93,263.0,134,1.0,<=>
48,ECs_0014,HW372_19905,100.0,638,0,0,1,638,1,638,0.0,1290.0,638,1.0,<=>
49,ECs_0015,HW372_19900,99.734,376,1,0,1,376,1,376,0.0,765.0,376,1.0,<=>
50,ECs_0016,HW372_19895,97.101,69,2,0,1,69,1,69,1.13e-44,134.0,69,1.0,<=>
51,ECs_0017,HW372_19875,98.454,388,6,0,1,388,1,388,0.0,753.0,388,1.0,<=>
52,ECs_0018,HW372_19870,94.649,299,16,0,1,299,3,301,0.0,594.0,299,1.0,<=>
53,ECs_0022,HW372_08440,58.404,827,332,5,1,816,1,826,0.0,1026.0,816,1.0134803921568627,
54,ECs_0023,HW372_08435,56.25,224,98,0,1,224,1,224,3.1600000000000003e-97,280.0,227,0.986784140969163,
55,ECs_0024,HW372_08430,26.111,180,130,3,1,177,1,180,5.21e-13,61.2,177,1.0169491525423728,
56,ECs_0026,HW372_19865,100.0,87,0,0,1,87,1,87,4.4600000000000005e-58,170.0,87,1.0,<=>
57,ECs_0028,HW372_19855,100.0,313,0,0,1,313,1,313,0.0,631.0,313,1.0,<=>
58,ECs_0029,HW372_19850,99.147,938,8,0,1,938,1,938,0.0,1930.0,938,1.0,<=>
59,ECs_0030,HW372_19845,98.78,164,2,0,1,164,1,164,4.23e-118,328.0,164,1.0,<=>
60,ECs_0031,HW372_19840,100.0,149,0,0,1,149,1,149,3.61e-108,301.0,149,1.0,<=>
61,ECs_0032,HW372_19835,100.0,316,0,0,1,316,1,316,0.0,645.0,316,1.0,<=>
62,ECs_0033,HW372_19830,97.682,302,7,0,1,302,1,302,0.0,608.0,304,0.993421052631579,<=>
63,ECs_0034,HW372_19820,99.634,273,1,0,1,273,1,273,0.0,546.0,273,1.0,<=>
64,ECs_0035,HW372_19815,99.215,382,3,0,1,382,1,382,0.0,786.0,382,1.0,<=>
65,ECs_0036,HW372_19810,99.441,1073,6,0,1,1073,1,1073,0.0,2194.0,1073,1.0,<=>
66,ECs_0037,HW372_19805,98.473,131,2,0,1,131,1,131,3.5999999999999996e-94,265.0,131,1.0,<=>
67,ECs_0038,HW372_19800,98.469,196,3,0,1,196,1,196,3.2500000000000004e-144,396.0,196,1.0,<=>
68,ECs_0039,HW372_19795,98.851,261,3,0,1,261,1,261,0.0,524.0,261,1.0,<=>
69,ECs_0040,HW372_19790,97.485,517,13,0,1,517,1,517,0.0,1061.0,517,1.0,<=>
70,ECs_0041,HW372_19785,99.259,405,3,0,1,405,1,405,0.0,841.0,405,1.0,<=>
71,ECs_0042,HW372_19780,100.0,380,0,0,1,380,1,380,0.0,792.0,380,1.0,<=>
72,ECs_0043,HW372_19775,99.405,504,3,0,1,504,1,504,0.0,1010.0,504,1.0,<=>
73,ECs_0044,HW372_19770,99.609,256,1,0,1,256,1,256,0.0,509.0,256,1.0,<=>
74,ECs_0045,HW372_19765,97.764,313,7,0,1,313,1,313,0.0,631.0,313,1.0,<=>
75,ECs_0046,HW372_19760,99.533,428,2,0,1,428,1,428,0.0,868.0,428,1.0,<=>
76,ECs_0047,HW372_19755,100.0,95,0,0,1,95,1,95,2.42e-69,199.0,95,1.0,<=>
77,ECs_0048,HW372_19750,99.549,443,2,0,1,443,1,443,0.0,882.0,443,1.0,<=>
78,ECs_0049,HW372_19745,99.432,176,1,0,1,176,1,176,3.46e-132,364.0,176,1.0,<=>
79,ECs_0050,HW372_19740,99.194,620,5,0,1,620,1,620,0.0,1229.0,620,1.0,<=>
80,ECs_0051,HW372_19735,99.371,159,1,0,38,196,1,159,1.69e-118,330.0,196,0.8112244897959183,<=>
81,ECs_0052,HW372_19730,100.0,77,0,0,1,77,1,77,8.949999999999999e-53,155.0,77,1.0,<=>
82,ECs_0053,HW372_19725,98.077,104,2,0,1,104,1,104,2.45e-72,207.0,104,1.0,<=>
83,ECs_0054,HW372_19720,98.936,282,3,0,1,282,1,282,0.0,580.0,282,1.0,<=>
84,ECs_0055,HW372_19715,100.0,125,0,0,1,125,1,125,1.4799999999999999e-90,255.0,125,1.0,<=>
85,ECs_0056,HW372_19710,99.267,273,2,0,1,273,1,273,0.0,561.0,273,1.0,<=>
86,ECs_0057,HW372_19705,97.872,329,7,0,1,329,1,329,0.0,655.0,329,1.0,<=>
87,ECs_0058,HW372_19700,100.0,428,0,0,1,428,1,428,0.0,877.0,428,1.0,<=>
88,ECs_0059,HW372_19695,98.98,784,8,0,1,784,1,784,0.0,1612.0,784,1.0,<=>
89,ECs_0060,HW372_19690,99.631,271,1,0,1,271,1,271,0.0,561.0,271,1.0,<=>
90,ECs_0062,HW372_19685,98.63,219,3,0,1,219,1,219,3.95e-165,451.0,219,1.0,<=>
91,ECs_0063,HW372_19680,99.897,968,1,0,1,968,1,968,0.0,1989.0,968,1.0,<=>
92,ECs_0064,HW372_19675,97.829,783,17,0,1,783,1,783,0.0,1594.0,783,1.0,<=>
93,ECs_0065,HW372_19670,97.835,231,5,0,1,231,1,231,8.71e-174,474.0,231,1.0,<=>
94,ECs_0066,HW372_19665,99.4,500,3,0,1,500,1,500,0.0,1041.0,500,1.0,<=>
95,ECs_0067,HW372_19660,98.233,566,10,0,1,566,1,566,0.0,1147.0,566,1.0,<=>
96,ECs_0068,HW372_19655,99.644,281,1,0,1,281,1,281,0.0,585.0,292,0.9623287671232876,<=>
97,ECs_0069,HW372_19635,99.213,254,2,0,1,254,1,254,0.0,497.0,254,1.0,<=>
98,ECs_0070,HW372_19630,96.121,232,9,0,1,232,1,232,1.7600000000000003e-164,451.0,232,1.0,<=>
99,ECs_0071,HW372_19625,98.507,536,8,0,1,536,1,536,0.0,1041.0,536,1.0,<=>
100,ECs_0072,HW372_19620,98.165,327,6,0,1,327,1,327,0.0,661.0,327,1.0,<=>
101,ECs_0074,HW372_19615,99.274,551,4,0,1,551,1,551,0.0,1131.0,552,0.9981884057971014,<=>
102,ECs_0075,HW372_19605,98.507,201,3,0,1,201,1,201,8.8e-151,413.0,201,1.0,<=>
103,ECs_0076,HW372_19600,99.785,466,1,0,1,466,1,466,0.0,962.0,466,1.0,<=>
104,ECs_0077,HW372_19595,99.449,363,2,0,1,363,1,363,0.0,744.0,363,1.0,<=>
105,ECs_0078,HW372_19590,99.809,523,1,0,1,523,1,523,0.0,1079.0,523,1.0,<=>
106,ECs_0079,HW372_19585,100.0,28,0,0,1,28,1,28,1.87e-14,55.8,28,1.0,<=>
107,ECs_0080,HW372_19580,98.726,314,4,0,1,314,1,314,0.0,647.0,314,1.0,<=>
108,ECs_0081,HW372_19570,98.78,574,7,0,1,574,1,574,0.0,1172.0,574,1.0,<=>
109,ECs_0082,HW372_19565,99.387,163,1,0,1,163,1,163,1.32e-115,321.0,163,1.0,<=>
110,ECs_0083,HW372_19560,100.0,28,0,0,1,28,1,28,3.99e-16,60.1,28,1.0,<=>
111,ECs_0084,HW372_19555,100.0,334,0,0,1,334,1,334,0.0,687.0,334,1.0,<=>
112,ECs_0085,HW372_19550,100.0,152,0,0,1,152,1,152,1.11e-112,313.0,152,1.0,<=>
113,ECs_0086,HW372_19545,98.722,313,4,0,1,313,1,313,0.0,625.0,313,1.0,<=>
114,ECs_0087,HW372_19540,100.0,121,0,0,1,121,1,121,3.96e-87,246.0,121,1.0,<=>
115,ECs_0088,HW372_19535,99.49,588,3,0,1,588,1,588,0.0,1198.0,588,1.0,<=>
116,ECs_0089,HW372_19530,98.384,495,8,0,1,495,1,495,0.0,996.0,495,1.0,<=>
117,ECs_0090,HW372_19525,98.673,452,6,0,1,452,1,452,0.0,905.0,452,1.0,<=>
118,ECs_0091,HW372_19520,100.0,360,0,0,1,360,1,360,0.0,717.0,360,1.0,<=>
119,ECs_0092,HW372_19515,99.087,438,4,0,1,438,1,438,0.0,892.0,438,1.0,<=>
120,ECs_0093,HW372_19510,100.0,414,0,0,1,414,1,414,0.0,823.0,414,1.0,<=>
121,ECs_0094,HW372_19505,99.437,355,2,0,1,355,1,355,0.0,710.0,355,1.0,<=>
122,ECs_0095,HW372_19500,100.0,491,0,0,1,491,1,491,0.0,1006.0,491,1.0,<=>
123,ECs_0096,HW372_19495,97.712,306,7,0,1,306,1,306,0.0,608.0,306,1.0,<=>
124,ECs_0097,HW372_19490,100.0,276,0,0,1,276,1,276,0.0,565.0,276,1.0,<=>
125,ECs_0098,HW372_19485,100.0,420,0,0,1,420,1,420,0.0,855.0,420,1.0,<=>
126,ECs_0099,HW372_19480,100.0,383,0,0,1,383,1,383,0.0,763.0,383,1.0,<=>
127,ECs_0100,HW372_19475,100.0,305,0,0,1,305,1,305,0.0,634.0,305,1.0,<=>
128,ECs_0101,HW372_19470,100.0,170,0,0,1,170,1,170,4.01e-126,348.0,170,1.0,<=>
129,ECs_0102,HW372_19465,100.0,901,0,0,1,901,1,901,0.0,1862.0,901,1.0,<=>
130,ECs_0103,HW372_19460,97.727,132,3,0,1,132,1,132,5.94e-95,266.0,132,1.0,<=>
131,ECs_0105,HW372_19450,98.462,65,1,0,1,65,1,65,1.18e-43,132.0,65,1.0,<=>
132,ECs_0106,HW372_19445,99.19,247,2,0,1,247,1,247,0.0,499.0,247,1.0,<=>
133,ECs_0107,HW372_19440,99.029,206,2,0,1,206,1,206,5.26e-151,414.0,206,1.0,<=>
134,ECs_0108,HW372_19430,99.712,347,1,0,1,347,1,347,0.0,717.0,347,1.0,<=>
135,ECs_0110,HW372_19425,97.0,400,12,0,1,400,1,400,0.0,789.0,400,1.0,<=>
136,ECs_0111,HW372_19420,98.265,461,8,0,1,461,1,461,0.0,919.0,461,1.0,<=>
137,ECs_0112,HW372_19415,97.945,146,3,0,1,146,1,146,8.55e-107,298.0,146,1.0,<=>
138,ECs_0113,HW372_19410,100.0,297,0,0,1,297,1,297,0.0,604.0,297,1.0,<=>
139,ECs_0114,HW372_19405,99.454,183,1,0,1,183,1,183,1.87e-137,378.0,183,1.0,<=>
140,ECs_0115,HW372_19400,99.296,284,2,0,1,284,1,284,0.0,568.0,284,1.0,<=>
141,ECs_0116,HW372_19395,99.123,456,4,0,1,456,1,456,0.0,907.0,456,1.0,<=>
142,ECs_0117,HW372_19360,100.0,254,0,0,1,254,1,254,0.0,508.0,254,1.0,<=>
143,ECs_0118,HW372_19355,99.887,887,1,0,1,887,1,887,0.0,1845.0,887,1.0,<=>
144,ECs_0119,HW372_19350,99.206,630,5,0,1,630,1,630,0.0,1230.0,630,1.0,<=>
145,ECs_0120,HW372_19345,100.0,474,0,0,1,474,1,474,0.0,957.0,474,1.0,<=>
146,ECs_0121,HW372_19340,87.2,625,40,2,1,617,1,593,0.0,1055.0,617,1.012965964343598,<=>
147,ECs_0122,HW372_19335,99.884,865,1,0,1,865,1,865,0.0,1774.0,865,1.0,<=>
148,ECs_0123,HW372_19330,97.5,120,3,0,1,120,1,120,2.82e-84,238.0,120,1.0,<=>
149,ECs_0124,HW372_19325,99.242,264,2,0,1,264,1,264,0.0,548.0,264,1.0,<=>
150,ECs_0125,HW372_19320,100.0,288,0,0,1,288,1,288,0.0,605.0,288,1.0,<=>
151,ECs_0126,HW372_19315,100.0,102,0,0,1,102,14,115,8.309999999999999e-74,211.0,102,1.0,<=>
152,ECs_0127,HW372_19310,98.643,516,7,0,1,516,1,516,0.0,1052.0,516,1.0,<=>
153,ECs_0128,HW372_19305,99.497,796,4,0,1,796,1,796,0.0,1624.0,796,1.0,<=>
154,ECs_0129,HW372_19300,100.0,178,0,0,1,178,1,178,5.75e-130,358.0,178,1.0,<=>
155,ECs_0130,HW372_19295,99.091,220,2,0,1,220,1,220,1.94e-165,452.0,220,1.0,<=>
156,ECs_0131,HW372_19290,99.351,308,2,0,1,308,1,308,0.0,624.0,308,1.0,<=>
157,ECs_0132,HW372_19285,100.0,256,0,0,1,256,1,256,0.0,505.0,256,1.0,<=>
158,ECs_0133,HW372_19280,95.89,146,6,0,1,146,1,146,1.05e-106,297.0,146,1.0,<=>
159,ECs_0134,HW372_19275,97.555,409,10,0,1,409,1,409,0.0,829.0,409,1.0,<=>
160,ECs_0135,HW372_19270,100.0,126,0,0,1,126,1,126,1.81e-93,262.0,126,1.0,<=>
161,ECs_0136,HW372_19265,91.083,314,12,1,1,298,1,314,0.0,583.0,298,1.0536912751677852,<=>
162,ECs_0137,HW372_19255,99.647,283,1,0,1,283,1,283,0.0,575.0,283,1.0,<=>
163,ECs_0138,HW372_19250,97.727,264,6,0,1,264,1,264,0.0,533.0,264,1.0,<=>
164,ECs_0139,HW372_19245,29.444,180,100,8,208,368,249,420,2.04e-06,46.2,369,0.4878048780487805,<=>
165,ECs_0140,HW372_19240,41.143,175,96,3,25,196,28,198,1.4600000000000001e-36,123.0,196,0.8928571428571429,<=>
166,ECs_0141,HW372_19235,40.341,176,104,1,26,201,28,202,7.09e-41,135.0,201,0.8756218905472637,<=>
167,ECs_0142,HW372_19230,48.634,183,78,5,10,182,12,188,7.910000000000001e-47,149.0,182,1.0054945054945055,<=>
168,ECs_0143,HW372_19225,59.836,854,336,4,15,863,10,861,0.0,1086.0,866,0.9861431870669746,<=>
169,ECs_0144,HW372_19220,58.13,246,98,2,1,241,1,246,1.51e-102,295.0,241,1.020746887966805,<=>
170,ECs_0145,HW372_19215,39.891,183,93,6,20,198,27,196,3.12e-33,115.0,198,0.9242424242424242,<=>
171,ECs_0146,HW372_19210,92.667,150,11,0,1,150,1,150,4.72e-101,284.0,160,0.9375,<=>
172,ECs_0147,HW372_19205,99.785,465,1,0,1,465,8,472,0.0,958.0,465,1.0,<=>
173,ECs_0148,HW372_19200,97.078,308,9,0,1,308,1,308,0.0,617.0,308,1.0,<=>
174,ECs_0149,HW372_19195,100.0,151,0,0,1,151,1,151,7.28e-112,311.0,151,1.0,<=>
175,ECs_0150,HW372_19190,98.718,234,3,0,1,234,1,234,2.86e-178,485.0,234,1.0,<=>
176,ECs_0151,HW372_19185,97.159,176,5,0,1,176,1,176,4.41e-126,349.0,176,1.0,<=>
177,ECs_0152,HW372_19180,97.528,809,20,0,1,809,1,809,0.0,1577.0,809,1.0,<=>
178,ECs_0153,HW372_19175,99.763,844,2,0,1,844,1,844,0.0,1722.0,844,1.0,<=>
179,ECs_0154,HW372_19170,89.376,753,73,2,1,747,1,752,0.0,1386.0,747,1.0080321285140563,<=>
180,ECs_0155,HW372_19165,100.0,265,0,0,1,265,1,265,0.0,540.0,265,1.0,<=>
181,ECs_0156,HW372_19160,97.973,296,6,0,1,296,1,296,0.0,593.0,296,1.0,<=>
182,ECs_0157,HW372_19155,99.091,660,6,0,1,660,1,660,0.0,1259.0,660,1.0,<=>
183,ECs_0158,HW372_19150,99.531,426,2,0,1,426,1,426,0.0,867.0,426,1.0,<=>
184,ECs_0159,HW372_19145,99.789,473,1,0,1,473,1,473,0.0,937.0,473,1.0,<=>
185,ECs_0160,HW372_19135,100.0,114,0,0,1,114,1,114,4.7699999999999995e-82,233.0,114,1.0,<=>
186,ECs_0161,HW372_19130,99.517,207,1,0,1,207,1,207,7.94e-147,404.0,207,1.0,<=>
187,ECs_0162,HW372_19125,99.248,266,2,0,1,266,1,266,0.0,528.0,266,1.0,<=>
188,ECs_0163,HW372_19120,100.0,232,0,0,1,232,1,232,7.179999999999999e-172,469.0,232,1.0,<=>
189,ECs_0164,HW372_19115,98.614,505,7,0,1,505,1,505,0.0,1034.0,505,1.0,<=>
190,ECs_0165,HW372_19110,99.367,474,3,0,1,474,1,474,0.0,940.0,474,1.0,<=>
191,ECs_0166,HW372_19105,99.481,385,2,0,1,385,1,385,0.0,779.0,385,1.0,<=>
192,ECs_0167,HW372_19100,100.0,128,0,0,1,128,1,128,8.019999999999999e-92,258.0,128,1.0,<=>
193,ECs_0168,HW372_19095,98.905,274,3,0,1,274,1,274,0.0,555.0,274,1.0,<=>
194,ECs_0169,HW372_19090,99.326,890,6,0,1,890,1,890,0.0,1816.0,890,1.0,<=>
195,ECs_0170,HW372_19085,100.0,264,0,0,1,264,1,264,0.0,544.0,264,1.0,<=>
196,ECs_0171,HW372_19080,100.0,241,0,0,1,241,1,241,0.0,498.0,241,1.0,<=>
197,ECs_0172,HW372_19075,100.0,283,0,0,1,283,1,283,0.0,563.0,283,1.0,<=>
198,ECs_0173,HW372_19070,100.0,241,0,0,1,241,1,241,5.229999999999999e-180,490.0,241,1.0,<=>
199,ECs_0174,HW372_19065,100.0,185,0,0,1,185,1,185,3.55e-133,367.0,185,1.0,<=>
200,ECs_0175,HW372_19060,99.497,398,2,0,1,398,1,398,0.0,821.0,398,1.0,<=>
201,ECs_0176,HW372_19055,100.0,252,0,0,1,252,1,252,0.0,523.0,252,1.0,<=>
202,ECs_0177,HW372_19050,98.909,275,3,0,1,275,11,285,0.0,539.0,275,1.0,<=>
203,ECs_0178,HW372_19045,99.778,450,1,0,1,450,1,450,0.0,900.0,450,1.0,<=>
204,ECs_0179,HW372_19040,100.0,810,0,0,1,810,1,810,0.0,1664.0,810,1.0,<=>
205,ECs_0180,HW372_19035,100.0,161,0,0,1,161,1,161,1.11e-114,319.0,161,1.0,<=>
206,ECs_0181,HW372_19030,100.0,341,0,0,1,341,1,341,0.0,692.0,341,1.0,<=>
207,ECs_0182,HW372_19025,100.0,151,0,0,1,151,1,151,2.29e-110,307.0,151,1.0,<=>
208,ECs_0183,HW372_19020,99.618,262,1,0,1,262,1,262,0.0,531.0,262,1.0,<=>
209,ECs_0184,HW372_19015,99.476,382,2,0,1,382,1,382,0.0,778.0,382,1.0,<=>
210,ECs_0185,HW372_19010,98.99,198,2,0,1,198,1,198,2.36e-145,399.0,198,1.0,<=>
211,ECs_0186,HW372_19005,99.569,1160,5,0,1,1160,1,1160,0.0,2375.0,1160,1.0,<=>
212,ECs_0187,HW372_19000,99.06,319,3,0,1,319,1,319,0.0,644.0,319,1.0,<=>
213,ECs_0188,HW372_18995,99.158,713,6,0,1,713,1,713,0.0,1476.0,713,1.0,<=>
214,ECs_0189,HW372_18990,99.225,129,1,0,1,129,1,129,5.11e-96,269.0,129,1.0,<=>
215,ECs_0190,HW372_18985,95.349,430,20,0,1,430,1,430,0.0,832.0,431,0.9976798143851509,<=>
216,ECs_0191,HW372_18980,98.837,86,1,0,1,86,1,86,7.59e-61,177.0,86,1.0,<=>
217,ECs_0192,HW372_18970,98.684,152,2,0,1,152,1,152,1.82e-110,308.0,152,1.0,<=>
218,ECs_0193,HW372_18965,96.429,140,1,1,1,136,1,140,7.63e-94,264.0,136,1.0294117647058822,<=>
219,ECs_0194,HW372_18960,99.149,235,2,0,1,235,1,235,2.54e-178,486.0,236,0.9957627118644068,<=>
220,ECs_0195,HW372_18950,95.62,274,12,0,1,274,1,274,0.0,544.0,274,1.0,<=>
221,ECs_0196,HW372_18945,98.252,572,10,0,1,572,1,572,0.0,1159.0,572,1.0,<=>
222,ECs_0197,HW372_18940,98.723,235,3,0,1,235,1,235,2.14e-175,478.0,235,1.0,<=>
223,ECs_0198,HW372_18935,99.254,134,1,0,1,134,1,134,1.58e-96,271.0,134,1.0,<=>
224,ECs_0199,HW372_18930,99.262,271,2,0,1,271,1,271,0.0,538.0,271,1.0,<=>
225,ECs_0200,HW372_18925,99.078,217,2,0,1,217,1,217,8.879999999999999e-152,417.0,217,1.0,<=>
226,ECs_0201,HW372_18920,100.0,343,0,0,1,343,1,343,0.0,706.0,343,1.0,<=>
227,ECs_0202,HW372_18915,98.421,190,3,0,1,190,1,190,2.52e-143,394.0,191,0.9947643979057592,<=>
228,ECs_0203,HW372_18880,97.378,267,7,0,1,267,1,267,0.0,531.0,267,1.0,<=>
229,ECs_0204,HW372_18875,98.355,304,5,0,1,304,1,304,0.0,612.0,304,1.0,<=>
230,ECs_0205,HW372_18870,100.0,259,0,0,1,259,8,266,0.0,533.0,259,1.0,<=>
231,ECs_0206,HW372_18865,94.141,256,15,0,1,256,1,256,0.0,496.0,256,1.0,<=>
232,ECs_0207,HW372_18860,99.779,452,1,0,1,452,1,452,0.0,926.0,452,1.0,<=>
233,ECs_0208,HW372_18855,98.805,251,3,0,1,251,1,251,0.0,520.0,251,1.0,<=>
234,ECs_0209,HW372_18850,99.167,240,2,0,1,240,1,240,2.2300000000000003e-179,489.0,240,1.0,<=>
235,ECs_0210,HW372_18845,99.355,155,1,0,1,155,1,155,3.96e-117,324.0,155,1.0,<=>
236,ECs_0211,HW372_18840,99.177,243,2,0,4,246,1,243,0.0,503.0,246,0.9878048780487805,<=>
237,ECs_0216,HW372_01450,39.024,164,90,5,1,159,1,159,9.720000000000001e-29,106.0,159,1.0314465408805031,<=>
238,ECs_0217,HW372_05115,29.06,468,285,12,2,439,4,454,4.85e-36,135.0,469,0.997867803837953,<=>
239,ECs_0218,HW372_05145,22.453,530,357,18,637,1130,569,1080,6.77e-19,89.7,1144,0.4632867132867133,<=>
240,ECs_0223,HW372_05175,42.873,919,438,9,9,900,9,867,0.0,648.0,923,0.9956663055254604,<=>
241,ECs_0224,HW372_05190,27.103,107,76,1,60,164,35,141,1.72e-08,50.4,253,0.42292490118577075,<=>
242,ECs_0225,HW372_05195,26.757,441,310,8,9,441,7,442,2.38e-33,127.0,443,0.9954853273137697,<=>
243,ECs_0226,HW372_05125,23.684,152,102,5,1,146,6,149,3.78e-06,42.4,174,0.8735632183908046,<=>
244,ECs_0228,HW372_05130,29.141,326,200,11,18,335,7,309,6.95e-27,106.0,360,0.9055555555555556,<=>
245,ECs_0229,HW372_05135,27.994,618,400,13,2,612,3,582,1.4899999999999998e-69,233.0,616,1.0032467532467533,<=>
246,ECs_0230,HW372_05120,26.667,90,58,2,35,116,32,121,1.9e-07,44.7,137,0.656934306569343,<=>
247,ECs_0231,HW372_05200,45.863,423,224,3,46,463,60,482,9.94e-138,403.0,463,0.9136069114470843,<=>
248,ECs_0233,HW372_05205,37.805,164,99,2,1,164,1,161,5.52e-31,107.0,166,0.9879518072289156,<=>
249,ECs_0234,HW372_05180,31.469,143,98,0,24,166,15,157,9.510000000000001e-26,94.0,172,0.8313953488372093,<=>
250,ECs_0236,HW372_12230,53.627,703,301,9,4,704,5,684,0.0,721.0,713,0.9859747545582047,<=>
251,ECs_0246,HW372_18385,98.039,255,5,0,1,255,1,255,0.0,521.0,256,0.99609375,<=>
