query_gene_id	subject_gene_id	percent_identity	alignment_length	forward_bitscore	forward_evalue
BW25113_RS00460	b0092	100.000	918	1696.00	0.00e+00
BW25113_RS00465	b0093	100.000	828	1530.00	0.00e+00
BW25113_RS00470	b0094	100.000	1260	2327.00	0.00e+00
BW25113_RS00475	b0095	100.000	1149	2122.00	0.00e+00
BW25113_RS00480	b0096	100.000	915	1690.00	0.00e+00
BW25113_RS00485	b0097	100.000	510	942.00	0.00e+00
BW25113_RS00490	b0098	100.000	2703	4992.00	0.00e+00
BW25113_RS00495	b0099	100.000	387	715.00	0.00e+00
BW25113_RS00505	b0101	100.000	195	361.00	1.26e-100
BW25113_RS00510	b0102	100.000	741	1369.00	0.00e+00
BW25113_RS00515	b0103	100.000	618	1142.00	0.00e+00
BW25113_RS25965	b4727	100.000	42	78.70	1.95e-16
BW25113_RS00520	b0104	100.000	1041	1923.00	0.00e+00
BW25113_RS00525	b0106	100.000	1200	2217.00	0.00e+00
BW25113_RS00530	b0107	100.000	1383	2555.00	0.00e+00
BW25113_RS00535	b0108	100.000	438	809.00	0.00e+00
BW25113_RS00545	b0109	100.000	891	1646.00	0.00e+00
BW25113_RS00550	b0110	100.000	549	1014.00	0.00e+00
BW25113_RS00555	b0111	100.000	852	1574.00	0.00e+00
BW25113_RS00560	b0112	100.000	1371	2532.00	0.00e+00
BW25113_RS00565	b0113	100.000	762	1408.00	0.00e+00
BW25113_RS00570	b0114	100.000	2661	4915.00	0.00e+00
BW25113_RS00575	b0115	100.000	1890	3491.00	0.00e+00
BW25113_RS00580	b0116	100.000	1422	2627.00	0.00e+00
BW25113_RS00585	b0117	100.000	1851	3419.00	0.00e+00
BW25113_RS00590	b0118	100.000	2595	4793.00	0.00e+00
BW25113_RS00595	b0119	100.000	360	665.00	0.00e+00
BW25113_RS00600	b0120	100.000	792	1463.00	0.00e+00
BW25113_RS00605	b0121	100.000	864	1596.00	0.00e+00
BW25113_RS00610	b0122	100.000	345	638.00	0.00e+00
BW25113_RS00615	b0123	100.000	1548	2859.00	0.00e+00
BW25113_RS00620	b0124	100.000	2388	4410.00	0.00e+00
BW25113_RS00625	b0125	100.000	534	987.00	0.00e+00
BW25113_RS00630	b0126	100.000	660	1219.00	0.00e+00
BW25113_RS00635	b0127	100.000	924	1707.00	0.00e+00
BW25113_RS00640	b0128	100.000	768	1419.00	0.00e+00
BW25113_RS00645	b0129	100.000	438	809.00	0.00e+00
BW25113_RS00650	b0130	100.000	1227	2266.00	0.00e+00
BW25113_RS00655	b0131	100.000	378	699.00	0.00e+00
BW25113_RS00660	b0132	100.000	900	1663.00	0.00e+00
BW25113_RS00665	b0133	100.000	849	1568.00	0.00e+00
BW25113_RS00670	b0134	100.000	792	1463.00	0.00e+00
BW25113_RS00675	b0135	100.000	1236	2283.00	0.00e+00
BW25113_RS00680	b0136	100.000	594	1098.00	0.00e+00
BW25113_RS00685	b0137	100.000	603	1114.00	0.00e+00
BW25113_RS00690	b0138	100.000	567	1048.00	0.00e+00
BW25113_RS00695	b0139	100.000	2595	4793.00	0.00e+00
BW25113_RS00700	b0140	100.000	738	1363.00	0.00e+00
BW25113_RS00705	b0141	100.000	582	1075.00	0.00e+00
BW25113_RS00710	b0142	100.000	477	881.00	0.00e+00
BW25113_RS00715	b0143	100.000	1395	2577.00	0.00e+00
BW25113_RS00720	b0144	100.000	894	1652.00	0.00e+00
BW25113_RS00725	b0145	100.000	453	837.00	0.00e+00
BW25113_RS00730	b0146	100.000	702	1297.00	0.00e+00
BW25113_RS00735	b0147	100.000	528	976.00	0.00e+00
BW25113_RS00740	b0148	100.000	2427	4482.00	0.00e+00
BW25113_RS00750	b0149	100.000	2532	4676.00	0.00e+00
BW25113_RS00755	b0150	100.000	2241	4139.00	0.00e+00
BW25113_RS00760	b0151	100.000	795	1469.00	0.00e+00
BW25113_RS00765	b0152	100.000	888	1640.00	0.00e+00
BW25113_RS00770	b0153	100.000	1980	3657.00	0.00e+00
BW25113_RS00775	b0154	100.000	1278	2361.00	0.00e+00
BW25113_RS26045	b4765	100.000	45	84.20	4.72e-18
BW25113_RS00780	b0155	100.000	1419	2621.00	0.00e+00
BW25113_RS25410	b4728	100.000	63	117.00	7.57e-28
BW25113_RS00785	b0156	100.000	342	632.00	0.00e+00
BW25113_RS00790	b0157	100.000	621	1147.00	0.00e+00
BW25113_RS00795	b0158	100.000	798	1474.00	0.00e+00
BW25113_RS00800	b0159	100.000	696	1286.00	0.00e+00
BW25113_RS00805	b0160	100.000	1515	2798.00	0.00e+00
BW25113_RS00810	b0161	100.000	1422	2627.00	0.00e+00
BW25113_RS00815	b0162	100.000	1155	2134.00	0.00e+00
BW25113_RS00820	b0163	100.000	384	710.00	0.00e+00
BW25113_RS00825	b0164	100.000	810	1496.00	0.00e+00
BW25113_RS00830	b0166	100.000	822	1519.00	0.00e+00
BW25113_RS00835	b0167	100.000	2670	4931.00	0.00e+00
BW25113_RS00840	b0168	100.000	792	1463.00	0.00e+00
BW25113_RS00845	b0169	100.000	723	1336.00	0.00e+00
BW25113_RS00850	b0170	100.000	849	1568.00	0.00e+00
BW25113_RS00855	b0171	100.000	723	1336.00	0.00e+00
BW25113_RS00860	b0172	100.000	555	1026.00	0.00e+00
BW25113_RS00865	b0173	100.000	1194	2206.00	0.00e+00
BW25113_RS00870	b0174	100.000	756	1397.00	0.00e+00
BW25113_RS00875	b0175	100.000	855	1580.00	0.00e+00
BW25113_RS00880	b0176	100.000	1350	2494.00	0.00e+00
BW25113_RS00885	b0177	100.000	2430	4488.00	0.00e+00
BW25113_RS00890	b0178	100.000	483	893.00	0.00e+00
BW25113_RS00895	b0179	100.000	1023	1890.00	0.00e+00
BW25113_RS00900	b0180	100.000	453	837.00	0.00e+00
BW25113_RS00905	b0181	100.000	786	1452.00	0.00e+00
BW25113_RS00910	b0182	100.000	1146	2117.00	0.00e+00
BW25113_RS00915	b0183	100.000	594	1098.00	0.00e+00
BW25113_RS00920	b0184	100.000	3480	6427.00	0.00e+00
BW25113_RS00925	b0185	100.000	957	1768.00	0.00e+00
BW25113_RS00930	b0186	100.000	2139	3951.00	0.00e+00
BW25113_RS00935	b0187	100.000	387	715.00	0.00e+00
BW25113_RS00940	b0188	100.000	1296	2394.00	0.00e+00
BW25113_RS00945	b0189	100.000	252	466.00	3.51e-132
BW25113_RS00950	b4406	100.000	198	366.00	2.75e-102
BW25113_RS00955	b0190	100.000	543	1003.00	0.00e+00
BW25113_RS00960	b0191	100.000	420	776.00	0.00e+00
BW25113_RS00965	b0192	100.000	708	1308.00	0.00e+00
BW25113_RS00970	b0193	100.000	822	1519.00	0.00e+00
BW25113_RS00975	b0194	100.000	1716	3169.00	0.00e+00
BW25113_RS00980	b0195	100.000	705	1303.00	0.00e+00
BW25113_RS00985	b0196	100.000	402	743.00	0.00e+00
BW25113_RS00990	b0197	100.000	813	1502.00	0.00e+00
BW25113_RS00995	b0198	100.000	651	1203.00	0.00e+00
BW25113_RS01000	b0199	100.000	1029	1901.00	0.00e+00
BW25113_RS01005	b0200	100.000	573	1059.00	0.00e+00
BW25113_RS01040	b0207	100.000	801	1480.00	0.00e+00
BW25113_RS01045	b0208	100.000	912	1685.00	0.00e+00
BW25113_RS01050	b0209	100.000	798	1474.00	0.00e+00
BW25113_RS01055	b0210	100.000	621	1147.00	0.00e+00
BW25113_RS01060	b0211	100.000	1356	2505.00	0.00e+00
BW25113_RS01065	b0212	100.000	753	1391.00	0.00e+00
BW25113_RS01070	b0213	100.000	720	1330.00	0.00e+00
BW25113_RS01075	b0214	100.000	465	859.00	0.00e+00
BW25113_RS01080	b0215	100.000	729	1347.00	0.00e+00
BW25113_RS01090	b0217	100.000	783	1447.00	0.00e+00
BW25113_RS01095	b4586	100.000	477	881.00	0.00e+00
BW25113_RS01110	b0219	100.000	768	1419.00	0.00e+00
BW25113_RS01115	b0220	100.000	444	821.00	0.00e+00
BW25113_RS01120	b0221	100.000	2442	4510.00	0.00e+00
BW25113_RS01125	b0222	100.000	576	1064.00	0.00e+00
BW25113_RS01130	b0223	100.000	765	1413.00	0.00e+00
BW25113_RS01135	b0224	100.000	738	1363.00	0.00e+00
BW25113_RS01140	b0225	100.000	276	510.00	1.72e-145
BW25113_RS01145	b0226	100.000	258	477.00	1.62e-135
BW25113_RS01150	b0227	100.000	747	1380.00	0.00e+00
BW25113_RS01155	b0228	100.000	495	915.00	0.00e+00
BW25113_RS01170	b0231	100.000	1053	1945.00	0.00e+00
BW25113_RS01175	b0232	100.000	291	538.00	8.35e-154
BW25113_RS01180	b0233	100.000	396	732.00	0.00e+00
BW25113_RS01185	b0234	100.000	450	832.00	0.00e+00
BW25113_RS01200	b0237	100.000	1455	2687.00	0.00e+00
BW25113_RS01205	b0238	100.000	456	843.00	0.00e+00
BW25113_RS01210	b0239	100.000	1242	2294.00	0.00e+00
BW25113_RS01215	b0240	100.000	399	737.00	0.00e+00
BW25113_RS01220	b0241	100.000	1053	1945.00	0.00e+00
BW25113_RS01225	b0242	100.000	1101	2034.00	0.00e+00
BW25113_RS01230	b0243	100.000	1251	2311.00	0.00e+00
BW25113_RS01240	b0245	100.000	339	627.00	2.04e-180
BW25113_RS01245	b0246	100.000	315	582.00	4.14e-167
BW25113_RS23240	b4504	100.000	219	405.00	6.48e-114
BW25113_RS01250	b0247	100.000	474	876.00	0.00e+00
BW25113_RS01255	b0248	100.000	456	843.00	0.00e+00
BW25113_RS01260	b0249	100.000	237	438.00	6.97e-124
BW25113_RS01265	b0250	100.000	465	859.00	0.00e+00
BW25113_RS25425	b0251	100.000	441	815.00	0.00e+00
BW25113_RS01280	b0252	100.000	819	1513.00	0.00e+00
BW25113_RS01285	b0253	100.000	861	1591.00	0.00e+00
BW25113_RS01290	b0254	100.000	891	1646.00	0.00e+00
BW25113_RS01300	b0256	100.000	1149	2122.00	0.00e+00
BW25113_RS01305	b4587	100.000	423	782.00	0.00e+00
BW25113_RS01320	b0258	100.000	1089	2012.00	0.00e+00
BW25113_RS01330	b0260	100.000	1401	2588.00	0.00e+00
BW25113_RS01335	b0261	100.000	930	1718.00	0.00e+00
BW25113_RS01340	b0262	100.000	1044	1929.00	0.00e+00
BW25113_RS01365	b0266	100.000	348	643.00	0.00e+00
BW25113_RS01370	b0267	100.000	1152	2128.00	0.00e+00
BW25113_RS01375	b0268	100.000	906	1674.00	0.00e+00
BW25113_RS01380	b0269	100.000	1965	3629.00	0.00e+00
BW25113_RS01385	b0270	100.000	1380	2549.00	0.00e+00
BW25113_RS01390	b0271	100.000	1608	2970.00	0.00e+00
BW25113_RS01395	b0272	100.000	756	1397.00	0.00e+00
BW25113_RS01400	b0273	100.000	1002	1851.00	0.00e+00
BW25113_RS26055	b4766	100.000	93	172.00	2.68e-44
BW25113_RS01405	b0274	99.801	502	920.00	0.00e+00
BW25113_RS01410	b0276	100.000	729	1347.00	0.00e+00
BW25113_RS01415	b0277	100.000	624	1153.00	0.00e+00
BW25113_RS01420	b0278	100.000	696	1286.00	0.00e+00
BW25113_RS01425	b0279	100.000	852	1574.00	0.00e+00
BW25113_RS01430	b4729	100.000	222	411.00	1.41e-115
BW25113_RS01435	b0280	100.000	438	809.00	0.00e+00
BW25113_RS01440	b0281	100.000	1398	2582.00	0.00e+00
BW25113_RS01450	b0282	100.000	336	621.00	9.41e-179
BW25113_RS01455	b0283	100.000	954	1762.00	0.00e+00
BW25113_RS01460	b0284	100.000	2196	4056.00	0.00e+00
BW25113_RS01465	b0285	100.000	954	1762.00	0.00e+00
BW25113_RS01470	b0286	100.000	687	1269.00	0.00e+00
BW25113_RS01475	b0287	100.000	612	1131.00	0.00e+00
BW25113_RS01480	b0288	100.000	327	604.00	9.20e-174
BW25113_RS01485	b0289	100.000	708	1308.00	0.00e+00
BW25113_RS01490	b0290	100.000	1641	3031.00	0.00e+00
BW25113_RS01495	b0291	100.000	2523	4660.00	0.00e+00
BW25113_RS01500	b0292	100.000	666	1230.00	0.00e+00
BW25113_RS01505	b0293	100.000	585	1081.00	0.00e+00
BW25113_RS01510	b0294	100.000	540	998.00	0.00e+00
BW25113_RS01515	b0295	100.000	225	416.00	3.08e-117
BW25113_RS01520	b4506	100.000	138	255.00	4.12e-69
BW25113_RS01525	b0296	100.000	261	483.00	3.53e-137
BW25113_RS26450	b4671	100.000	99	183.00	1.32e-47
BW25113_RS01555	b0301	100.000	591	1092.00	0.00e+00
BW25113_RS01560	b0303	100.000	234	433.00	3.20e-122
BW25113_RS01565	b0304	100.000	1323	2444.00	0.00e+00
BW25113_RS01570	b0305	100.000	852	1574.00	0.00e+00
BW25113_RS01575	b0306	100.000	717	1325.00	0.00e+00
BW25113_RS01580	b0307	100.000	1425	2632.00	0.00e+00
BW25113_RS01585	b0308	100.000	693	1280.00	0.00e+00
BW25113_RS01595	b0310	100.000	666	1230.00	0.00e+00
BW25113_RS01600	b0311	100.000	1668	3081.00	0.00e+00
BW25113_RS01605	b0312	100.000	1470	2715.00	0.00e+00
BW25113_RS01610	b0313	100.000	585	1081.00	0.00e+00
BW25113_RS01615	b0314	100.000	2031	3751.00	0.00e+00
BW25113_RS25450	b4730	100.000	72	134.00	9.06e-33
BW25113_RS01625	b0315	100.000	1086	2006.00	0.00e+00
BW25113_RS01630	b0316	100.000	930	1718.00	0.00e+00
BW25113_RS01635	b0317	100.000	495	915.00	0.00e+00
BW25113_RS01640	b0318	100.000	603	1114.00	0.00e+00
BW25113_RS01645	b0319	100.000	861	1591.00	0.00e+00
BW25113_RS01650	b0320	100.000	1545	2854.00	0.00e+00
BW25113_RS01655	b0321	100.000	1416	2615.00	0.00e+00
BW25113_RS01660	b0322	100.000	318	588.00	8.99e-169
BW25113_RS01665	b0323	100.000	948	1751.00	0.00e+00
BW25113_RS01670	b0324	100.000	1380	2549.00	0.00e+00
BW25113_RS01675	b0325	100.000	1047	1934.00	0.00e+00
BW25113_RS01680	b0326	100.000	813	1502.00	0.00e+00
BW25113_RS01685	b0327	100.000	243	449.00	3.31e-127
BW25113_RS01690	b0328	100.000	669	1236.00	0.00e+00
BW25113_RS01695	b0329	100.000	273	505.00	7.91e-144
BW25113_RS01700	b0330	100.000	1584	2926.00	0.00e+00
BW25113_RS01705	b0331	100.000	888	1640.00	0.00e+00
BW25113_RS01710	b0333	100.000	1167	2156.00	0.00e+00
BW25113_RS01715	b0334	100.000	1449	2676.00	0.00e+00
BW25113_RS01720	b0335	100.000	1884	3480.00	0.00e+00
BW25113_RS01725	b0336	100.000	1257	2322.00	0.00e+00
BW25113_RS01730	b0337	100.000	1281	2366.00	0.00e+00
BW25113_RS01735	b0338	100.000	897	1657.00	0.00e+00
BW25113_RS01740	b0339	100.000	657	1214.00	0.00e+00
BW25113_RS01745	b0340	100.000	468	865.00	0.00e+00
BW25113_RS01750	b0341	100.000	1152	2128.00	0.00e+00
BW25113_RS01755	b0342	100.000	609	1125.00	0.00e+00
BW25113_RS01760	b0343	100.000	1251	2311.00	0.00e+00
BW25113_RS01765	b0344	100.000	1122	2073.00	0.00e+00
BW25113_RS01775	b0345	99.907	1080	1989.00	0.00e+00
BW25113_RS01780	b0346	100.000	831	1535.00	0.00e+00
BW25113_RS01785	b0347	100.000	1662	3070.00	0.00e+00
BW25113_RS01790	b0348	100.000	942	1740.00	0.00e+00
BW25113_RS01795	b0349	100.000	519	959.00	0.00e+00
BW25113_RS01810	b0350	100.000	807	1491.00	0.00e+00
BW25113_RS01815	b0351	100.000	948	1751.00	0.00e+00
BW25113_RS01820	b0352	100.000	1011	1868.00	0.00e+00
BW25113_RS01825	b0353	100.000	1209	2233.00	0.00e+00
BW25113_RS01830	b0354	100.000	537	992.00	0.00e+00
BW25113_RS01835	b0355	100.000	831	1535.00	0.00e+00
BW25113_RS01840	b0356	100.000	1107	2045.00	0.00e+00
BW25113_RS01845	b0357	100.000	273	505.00	7.91e-144
BW25113_RS01850	b0358	100.000	771	1424.00	0.00e+00
BW25113_RS01855	b4579	100.000	415	767.00	0.00e+00
BW25113_RS01875	b0363	100.000	1194	2206.00	0.00e+00
BW25113_RS01880	b0364	100.000	555	1026.00	0.00e+00
BW25113_RS01885	b0365	100.000	960	1773.00	0.00e+00
BW25113_RS01890	b0366	100.000	765	1413.00	0.00e+00
BW25113_RS01895	b0367	100.000	825	1524.00	0.00e+00
BW25113_RS01900	b0368	100.000	849	1568.00	0.00e+00
BW25113_RS01905	b0369	100.000	972	1796.00	0.00e+00
BW25113_RS01915	b4580	100.000	1459	2695.00	0.00e+00
BW25113_RS01935	b0375	100.000	621	1147.00	0.00e+00
BW25113_RS01940	b0376	100.000	1155	2134.00	0.00e+00
BW25113_RS01950	b0377	100.000	1218	2250.00	0.00e+00
BW25113_RS01955	b0378	100.000	1092	2017.00	0.00e+00
BW25113_RS01960	b0379	100.000	306	566.00	4.04e-162
BW25113_RS25465	b0380	100.000	210	388.00	6.23e-109
BW25113_RS01970	b0381	100.000	1092	2017.00	0.00e+00
BW25113_RS01980	b0382	100.000	258	477.00	1.62e-135
BW25113_RS01985	b0383	100.000	1413	2610.00	0.00e+00
BW25113_RS01990	b0384	100.000	318	588.00	8.99e-169
BW25113_RS01995	b0385	100.000	1113	2056.00	0.00e+00
BW25113_RS02000	b0386	100.000	807	1491.00	0.00e+00
BW25113_RS02005	b0387	100.000	456	843.00	0.00e+00
BW25113_RS02010	b0388	100.000	522	965.00	0.00e+00
BW25113_RS02015	b0389	100.000	189	350.00	2.63e-97
BW25113_RS02025	b0390	100.000	675	1247.00	0.00e+00
BW25113_RS02030	b0391	100.000	282	521.00	8.13e-149
BW25113_RS25470	b4732	100.000	81	150.00	1.05e-37
BW25113_RS02040	b0393	100.000	909	1679.00	0.00e+00
BW25113_RS02045	b0394	100.000	906	1674.00	0.00e+00
BW25113_RS02050	b0396	100.000	1182	2183.00	0.00e+00
BW25113_RS02055	b0397	100.000	3144	5806.00	0.00e+00
BW25113_RS02060	b0398	100.000	1200	2217.00	0.00e+00
BW25113_RS02065	b0399	100.000	687	1269.00	0.00e+00
BW25113_RS02070	b0400	100.000	1293	2388.00	0.00e+00
BW25113_RS02075	b0401	100.000	1317	2433.00	0.00e+00
BW25113_RS02080	b0402	100.000	1371	2532.00	0.00e+00
BW25113_RS02085	b0403	100.000	1812	3347.00	0.00e+00
BW25113_RS02090	b0404	100.000	579	1070.00	0.00e+00
BW25113_RS02095	b0405	100.000	1068	1973.00	0.00e+00
BW25113_RS02100	b0406	100.000	1125	2078.00	0.00e+00
BW25113_RS02105	b0407	100.000	330	610.00	2.00e-175
BW25113_RS02110	b0408	100.000	1845	3408.00	0.00e+00
BW25113_RS02115	b0409	100.000	969	1790.00	0.00e+00
BW25113_RS02120	b0410	100.000	345	638.00	0.00e+00
BW25113_RS02130	b0411	100.000	882	1629.00	0.00e+00
BW25113_RS02135	b0412	100.000	537	992.00	0.00e+00
BW25113_RS02140	b0413	100.000	447	826.00	0.00e+00
BW25113_RS02145	b0414	100.000	1101	2034.00	0.00e+00
BW25113_RS02150	b0415	100.000	468	865.00	0.00e+00
BW25113_RS02155	b0416	100.000	417	771.00	0.00e+00
BW25113_RS02160	b0417	100.000	975	1801.00	0.00e+00
BW25113_RS02165	b0418	100.000	516	953.00	0.00e+00
BW25113_RS02170	b0419	100.000	972	1796.00	0.00e+00
BW25113_RS02175	b0420	100.000	1860	3435.00	0.00e+00
BW25113_RS02180	b0421	100.000	897	1657.00	0.00e+00
BW25113_RS02185	b0422	100.000	240	444.00	1.52e-125
BW25113_RS02190	b0423	100.000	1446	2671.00	0.00e+00
BW25113_RS02195	b0424	100.000	588	1086.00	0.00e+00
BW25113_RS02200	b0425	100.000	909	1679.00	0.00e+00
BW25113_RS02205	b0426	100.000	489	904.00	0.00e+00
BW25113_RS02210	b0427	100.000	1362	2516.00	0.00e+00
BW25113_RS02215	b0428	100.000	888	1640.00	0.00e+00
BW25113_RS02220	b0429	100.000	327	604.00	9.20e-174
BW25113_RS02225	b0430	100.000	612	1131.00	0.00e+00
BW25113_RS02230	b0431	100.000	1989	3674.00	0.00e+00
BW25113_RS02235	b0432	100.000	945	1746.00	0.00e+00
BW25113_RS02240	b0433	100.000	1473	2721.00	0.00e+00
BW25113_RS02245	b0434	100.000	576	1064.00	0.00e+00
BW25113_RS02250	b0435	100.000	315	582.00	4.14e-167
BW25113_RS02260	b0436	100.000	1296	2394.00	0.00e+00
BW25113_RS02265	b0437	100.000	621	1147.00	0.00e+00
BW25113_RS02270	b0438	100.000	1272	2350.00	0.00e+00
BW25113_RS02275	b0439	100.000	2352	4344.00	0.00e+00
BW25113_RS02280	b0440	100.000	270	499.00	3.90e-142
BW25113_RS02285	b0441	100.000	1869	3452.00	0.00e+00
BW25113_RS02290	b0442	100.000	369	682.00	0.00e+00
BW25113_RS02295	b0443	100.000	396	732.00	0.00e+00
BW25113_RS02300	b0444	100.000	693	1280.00	0.00e+00
BW25113_RS02305	b0445	100.000	1698	3136.00	0.00e+00
BW25113_RS02310	b0446	100.000	816	1507.00	0.00e+00
BW25113_RS02315	b0447	100.000	456	843.00	0.00e+00
BW25113_RS02320	b0448	100.000	1770	3269.00	0.00e+00
BW25113_RS02325	b0449	100.000	1779	3286.00	0.00e+00
BW25113_RS02330	b0450	100.000	336	621.00	9.41e-179
BW25113_RS02335	b0451	100.000	1284	2372.00	0.00e+00
BW25113_RS02340	b0452	100.000	858	1585.00	0.00e+00
BW25113_RS02345	b0453	100.000	570	1053.00	0.00e+00
BW25113_RS02350	b0454	100.000	309	571.00	8.78e-164
BW25113_RS02355	b0456	100.000	351	649.00	0.00e+00
BW25113_RS02360	b0457	100.000	1548	2859.00	0.00e+00
BW25113_RS02365	b0458	100.000	468	865.00	0.00e+00
BW25113_RS02370	b0459	100.000	549	1014.00	0.00e+00
BW25113_RS02375	b0460	100.000	216	399.00	2.97e-112
BW25113_RS02380	b0461	100.000	372	688.00	0.00e+00
BW25113_RS02385	b0462	100.000	3147	5812.00	0.00e+00
BW25113_RS02390	b0463	100.000	1191	2200.00	0.00e+00
BW25113_RS02395	b0464	100.000	645	1192.00	0.00e+00
BW25113_RS02400	b0465	100.000	3360	6205.00	0.00e+00
BW25113_RS02410	b0466	100.000	159	294.00	1.03e-80
BW25113_RS02415	b0467	100.000	525	970.00	0.00e+00
