BL21,Nissle_1917,O157_H7
ECD_00055,HW372_19710,ECs_0056
ECD_00056,HW372_19705,ECs_0057
ECD_00057,HW372_19700,ECs_0058
ECD_00058,HW372_19695,ECs_0059
ECD_00059,HW372_19690,ECs_0060
ECD_00060,HW372_19685,ECs_0062
ECD_00061,HW372_19680,ECs_0063
ECD_00062,HW372_19675,ECs_0064
ECD_00063,HW372_19670,ECs_0065
ECD_00064,HW372_19665,ECs_0066
ECD_00065,HW372_19660,ECs_0067
ECD_00066,HW372_19655,ECs_0068
ECD_00067,HW372_19635,ECs_0069
ECD_00068,HW372_19630,ECs_0070
ECD_00069,HW372_19625,ECs_0071
ECD_00070,HW372_19620,ECs_0072
ECD_00071,HW372_19615,ECs_0074
ECD_00072,,
ECD_00073,HW372_19605,ECs_0075
ECD_00074,HW372_19600,ECs_0076
ECD_00075,HW372_19595,ECs_0077
ECD_00076,HW372_19590,ECs_0078
ECD_00077,HW372_19585,ECs_0079
ECD_00078,HW372_19580,ECs_0080
ECD_00079,HW372_19570,ECs_0081
ECD_00080,HW372_19565,ECs_0082
ECD_00081,HW372_19555,ECs_0084
ECD_00082,HW372_19550,ECs_0085
ECD_00083,HW372_19545,ECs_0086
ECD_00084,HW372_19540,ECs_0087
ECD_00085,HW372_19535,ECs_0088
ECD_00086,HW372_19530,ECs_0089
ECD_00087,HW372_19525,ECs_0090
ECD_00088,HW372_19520,ECs_0091
ECD_00089,HW372_19515,ECs_0092
ECD_00090,HW372_19510,ECs_0093
ECD_00091,HW372_19505,ECs_0094
ECD_00092,HW372_19500,ECs_0095
ECD_00093,HW372_19495,ECs_0096
ECD_00094,HW372_19490,ECs_0097
ECD_00095,HW372_19485,ECs_0098
ECD_00096,HW372_19480,ECs_0099
ECD_00097,HW372_19475,ECs_0100
ECD_00098,HW372_19470,ECs_0101
ECD_00099,HW372_19465,ECs_0102
ECD_00100,HW372_19460,ECs_0103
ECD_00101,HW372_19450,ECs_0105
ECD_00102,HW372_19445,ECs_0106
ECD_00103,HW372_19440,ECs_0107
ECD_00104,HW372_19430,ECs_0108
ECD_00105,HW372_19425,ECs_0110
ECD_00106,HW372_19420,ECs_0111
ECD_00107,HW372_19415,ECs_0112
ECD_00108,HW372_19410,ECs_0113
ECD_00109,HW372_19405,ECs_0114
ECD_00110,HW372_19400,ECs_0115
ECD_00111,HW372_19395,ECs_0116
ECD_00112,HW372_19360,ECs_0117
ECD_00113,HW372_19355,ECs_0118
ECD_00114,HW372_19350,ECs_0119
ECD_00115,HW372_19345,ECs_0120
ECD_00116,HW372_19340,ECs_0121
ECD_00117,HW372_19335,ECs_0122
ECD_00118,HW372_19330,ECs_0123
ECD_00119,HW372_19325,ECs_0124
ECD_00120,HW372_19320,ECs_0125
ECD_00121,HW372_19315,ECs_0126
ECD_00122,HW372_19310,ECs_0127
ECD_00123,HW372_19305,ECs_0128
ECD_00124,HW372_19300,ECs_0129
ECD_00125,HW372_19295,ECs_0130
ECD_00126,HW372_19290,ECs_0131
ECD_00127,HW372_19285,ECs_0132
ECD_00128,HW372_19280,ECs_0133
ECD_00129,HW372_19275,ECs_0134
ECD_00130,HW372_19270,ECs_0135
ECD_00131,HW372_19265,ECs_0136
ECD_00132,HW372_19255,ECs_0137
ECD_00133,HW372_19250,ECs_0138
ECD_00134,HW372_19245,ECs_0139
ECD_00135,HW372_19240,ECs_0140
ECD_00136,HW372_19235,ECs_0141
ECD_00137,HW372_19230,ECs_0142
ECD_00138,HW372_19225,ECs_0143
ECD_00139,HW372_19220,ECs_0144
ECD_00140,HW372_19215,ECs_0145
ECD_00141,HW372_19210,ECs_0146
ECD_00142,HW372_19205,ECs_0147
ECD_00143,HW372_19200,ECs_0148
ECD_00144,HW372_19195,ECs_0149
ECD_00145,HW372_19190,ECs_0150
ECD_00146,HW372_19185,ECs_0151
ECD_00147,HW372_19180,ECs_0152
ECD_00148,HW372_19175,ECs_0153
ECD_00149,HW372_19170,ECs_0154
ECD_00150,HW372_19165,ECs_0155
ECD_00151,HW372_19160,ECs_0156
ECD_00152,HW372_19155,ECs_0157
ECD_00153,HW372_19150,ECs_0158
ECD_00154,HW372_19145,ECs_0159
ECD_00155,HW372_19135,ECs_0160
ECD_00156,HW372_19130,ECs_0161
ECD_00157,HW372_19125,ECs_0162
ECD_00158,HW372_19120,ECs_0163
ECD_00159,HW372_19115,ECs_0164
ECD_00160,HW372_19110,ECs_0165
ECD_00161,HW372_19105,ECs_0166
ECD_00162,HW372_19100,ECs_0167
ECD_00163,,
ECD_00164,HW372_19095,ECs_0168
ECD_00165,HW372_19090,ECs_0169
ECD_00166,HW372_19085,ECs_0170
ECD_00167,HW372_19080,ECs_0171
ECD_00168,HW372_19075,ECs_0172
ECD_00169,HW372_19070,ECs_0173
ECD_00170,HW372_19065,ECs_0174
ECD_00171,HW372_19060,ECs_0175
ECD_00172,HW372_19055,ECs_0176
ECD_00173,HW372_19050,ECs_0177
ECD_00174,HW372_19045,ECs_0178
ECD_00175,HW372_19040,ECs_0179
ECD_00176,HW372_19035,ECs_0180
ECD_00177,HW372_19030,ECs_0181
ECD_00178,HW372_19025,ECs_0182
ECD_00179,HW372_19020,ECs_0183
ECD_00180,HW372_19015,ECs_0184
ECD_00181,HW372_19010,ECs_0185
ECD_00182,HW372_19005,ECs_0186
ECD_00183,HW372_19000,ECs_0187
ECD_00184,HW372_18995,ECs_0188
ECD_00185,HW372_18990,ECs_0189
ECD_00186,HW372_18985,ECs_0190
ECD_00187,HW372_18980,ECs_0191
ECD_00188,HW372_18975,ECs_5365
ECD_00189,HW372_18970,ECs_0192
ECD_00190,HW372_18965,ECs_0193
ECD_00191,HW372_18960,ECs_0194
ECD_00192,HW372_18950,ECs_0195
ECD_00193,HW372_18945,ECs_0196
ECD_00194,HW372_18940,ECs_0197
ECD_00195,HW372_18935,ECs_0198
ECD_00196,HW372_18930,ECs_0199
ECD_00197,HW372_18925,ECs_0200
ECD_00198,HW372_18920,ECs_0201
ECD_00199,HW372_18915,ECs_0202
ECD_00200,HW372_18880,ECs_0203
ECD_00201,HW372_18875,ECs_0204
ECD_00202,HW372_18870,ECs_0205
ECD_00203,HW372_18865,ECs_0206
ECD_00204,HW372_18860,ECs_0207
ECD_00205,HW372_18855,ECs_0208
ECD_00206,HW372_18850,ECs_0209
ECD_00207,HW372_18845,ECs_0210
ECD_00208,HW372_18840,ECs_0211
ECD_00209,,ECs_5700
ECD_00211,,
ECD_00212,,
ECD_00213,,
ECD_00214,HW372_18385,ECs_0246
ECD_00215,HW372_18380,ECs_0247
ECD_00216,HW372_18375,ECs_0248
ECD_00217,HW372_18370,ECs_0249
ECD_00218,HW372_18365,ECs_0250
ECD_00219,HW372_18360,ECs_0251
ECD_00220,,ECs_0252
ECD_00221,,ECs_0253
ECD_00222,HW372_18355,ECs_0254
ECD_00223,,
ECD_00226,HW372_18340,ECs_0258
ECD_00227,,ECs_0259
ECD_00228,,ECs_0260
ECD_00229,HW372_18335,ECs_0261
ECD_00230,HW372_18330,ECs_0262
ECD_00231,HW372_18325,ECs_0263
ECD_00232,HW372_18320,ECs_0264
ECD_00233,HW372_18315,ECs_0265
ECD_00234,HW372_18310,ECs_0266
ECD_00235,HW372_18305,ECs_0267
ECD_00236,,
ECD_00237,,
ECD_00238,HW372_18300,ECs_0268
ECD_00239,HW372_18295,ECs_0269
ECD_00240,HW372_18290,ECs_0270
ECD_00241,,ECs_0305
ECD_00242,,ECs_0313
ECD_00243,,ECs_0314
ECD_00244,,ECs_0315
ECD_00245,,ECs_0316
ECD_00246,HW372_18250,ECs_0317
ECD_00247,HW372_18240,
ECD_00248,HW372_18235,ECs_0319
ECD_00249,HW372_18230,ECs_0320
ECD_00250,HW372_18225,ECs_0321
ECD_00251,HW372_18220,ECs_0322
ECD_00252,HW372_18215,ECs_0323
ECD_00253,HW372_18210,ECs_0324
ECD_00254,,ECs_0326
ECD_00255,HW372_18195,ECs_0327
ECD_00256,HW372_18155,ECs_0336
ECD_00257,HW372_18150,ECs_0337
ECD_00258,HW372_18140,ECs_0340
ECD_00259,HW372_18135,
ECD_00260,HW372_18130,ECs_0342
ECD_00261,HW372_18125,ECs_0343
ECD_00262,HW372_18120,ECs_0344
ECD_00263,HW372_18115,ECs_0345
ECD_00264,HW372_18110,ECs_0346
ECD_00265,,
ECD_00266,HW372_18105,
ECD_00267,HW372_18075,ECs_0357
ECD_00268,HW372_18070,ECs_0358
ECD_00269,HW372_18065,ECs_0359
ECD_00270,HW372_18060,ECs_0360
ECD_00271,HW372_18055,ECs_0363
ECD_00272,HW372_18050,
ECD_00273,HW372_18045,ECs_0366
ECD_00274,HW372_18040,ECs_0367
ECD_00275,HW372_18035,ECs_0368
ECD_00276,HW372_18030,ECs_0369
ECD_00277,HW372_18025,ECs_0370
ECD_00278,HW372_18015,ECs_0372
ECD_00279,HW372_18010,ECs_0373
ECD_00280,HW372_18005,ECs_0379
ECD_00281,,ECs_0380
ECD_00282,,
ECD_00283,HW372_17995,ECs_0382
ECD_00284,HW372_17990,ECs_0383
ECD_00285,HW372_17985,ECs_0384
ECD_00286,HW372_17980,ECs_0385
ECD_00287,HW372_17975,ECs_0386
ECD_00288,HW372_17970,ECs_0387
ECD_00289,HW372_17965,ECs_0388
ECD_00290,HW372_17960,ECs_0389
ECD_00291,HW372_17955,ECs_0390
ECD_00292,,ECs_0391
ECD_00293,,ECs_0392
ECD_00294,,ECs_0393
ECD_00295,,ECs_0394
ECD_00296,HW372_17950,ECs_0395
ECD_00297,HW372_17945,ECs_0396
ECD_00298,HW372_17940,ECs_0397
ECD_00299,,
ECD_00300,,ECs_0401
ECD_00301,,ECs_0402
ECD_00302,,ECs_0403
ECD_00303,,ECs_0404
ECD_00304,,ECs_0405
ECD_00305,,ECs_0406
ECD_00306,,ECs_0407
ECD_00307,,ECs_0408
ECD_00308,HW372_17925,ECs_0409
ECD_00309,HW372_17920,ECs_0410
ECD_00310,HW372_17915,ECs_0411
ECD_00311,HW372_17910,ECs_0412
ECD_00312,HW372_17905,
ECD_00313,,
ECD_00315,HW372_17885,ECs_0419
ECD_00316,HW372_17880,ECs_0420
ECD_00317,HW372_17875,ECs_0421
ECD_00318,HW372_17870,ECs_0422
ECD_00319,HW372_17865,ECs_0423
ECD_00320,,
ECD_00321,HW372_17860,ECs_0424
ECD_00322,HW372_17855,ECs_0425
ECD_00323,HW372_17850,ECs_0426
ECD_00324,HW372_17845,ECs_0427
ECD_00325,HW372_17840,ECs_0428
ECD_00326,HW372_17835,ECs_0429
ECD_00327,HW372_17830,ECs_0430
ECD_00328,HW372_17825,ECs_0431
ECD_00329,HW372_17815,ECs_0432
ECD_00330,HW372_17810,ECs_0433
ECD_00331,HW372_17805,ECs_0434
ECD_00332,HW372_17800,ECs_0435
ECD_00333,HW372_17795,ECs_0436
ECD_00334,HW372_17790,ECs_0437
ECD_00335,HW372_17785,ECs_0438
ECD_00336,HW372_17780,ECs_0439
ECD_00337,HW372_17775,ECs_0440
ECD_00338,HW372_17770,ECs_0441
ECD_00339,,
ECD_00342,HW372_17755,ECs_0444
ECD_00343,HW372_17750,ECs_0445
ECD_00344,HW372_17745,ECs_0446
ECD_00345,HW372_17740,ECs_0447
ECD_00346,HW372_17735,ECs_0448
ECD_00347,HW372_17730,ECs_0449
ECD_00348,HW372_17725,ECs_0450
ECD_00349,HW372_17720,ECs_0451
ECD_00350,HW372_17715,ECs_0452
ECD_00351,HW372_17710,ECs_0453
ECD_00352,HW372_17705,ECs_0455
ECD_00353,HW372_17700,ECs_0456
ECD_00354,HW372_17695,ECs_0457
ECD_00355,HW372_17690,ECs_0458
ECD_00356,HW372_17685,ECs_0459
ECD_00357,HW372_17680,ECs_0460
ECD_00358,HW372_17675,ECs_0463
ECD_00359,HW372_17670,ECs_0464
ECD_00360,HW372_17665,ECs_0465
ECD_00361,HW372_17660,ECs_0466
ECD_00362,HW372_17655,ECs_0467
ECD_00363,HW372_17650,ECs_0468
ECD_00364,HW372_17645,ECs_0469
ECD_00365,HW372_17640,ECs_0470
ECD_00366,HW372_17635,ECs_0471
ECD_00367,HW372_17630,ECs_0473
ECD_00368,HW372_17625,ECs_0474
ECD_00369,HW372_17620,ECs_0475
ECD_00370,HW372_17615,ECs_0476
ECD_00371,HW372_17610,ECs_0477
ECD_00372,HW372_17605,ECs_0478
ECD_00373,HW372_17600,ECs_0479
ECD_00374,HW372_17595,ECs_0480
ECD_00375,HW372_17590,ECs_0481
ECD_00376,HW372_21050,ECs_0685
ECD_00377,,ECs_4307
ECD_00378,,ECs_4308
ECD_00379,HW372_17585,ECs_0482
ECD_00380,HW372_17580,ECs_0483
ECD_00381,HW372_17575,ECs_0484
ECD_00382,HW372_17570,ECs_0485
ECD_00383,HW372_17565,ECs_0486
ECD_00384,HW372_17560,ECs_0487
ECD_00385,HW372_17555,ECs_0488
ECD_00386,HW372_17550,ECs_0489
ECD_00387,HW372_17545,ECs_0490
ECD_00388,HW372_17540,ECs_0491
ECD_00389,HW372_17535,ECs_0492
ECD_00391,HW372_17530,ECs_0493
ECD_00392,HW372_17525,ECs_0494
ECD_00393,HW372_17520,ECs_0495
ECD_00394,HW372_17515,ECs_0496
ECD_00395,HW372_17510,ECs_0497
ECD_00396,HW372_17505,ECs_0498
ECD_00397,HW372_17500,ECs_0499
ECD_00398,HW372_17495,ECs_0500
ECD_00399,HW372_17490,ECs_0501
ECD_00400,HW372_17485,ECs_0502
ECD_00401,HW372_17480,ECs_0503
ECD_00402,HW372_17475,ECs_0504
ECD_00403,HW372_17470,ECs_0505
ECD_00404,HW372_17465,ECs_0506
ECD_00405,HW372_17460,ECs_0507
ECD_00406,HW372_17455,ECs_0508
ECD_00407,HW372_17445,ECs_0509
ECD_00408,HW372_17440,ECs_0510
ECD_00409,HW372_17435,ECs_0511
ECD_00410,HW372_17430,ECs_0512
ECD_00411,HW372_17425,ECs_0513
ECD_00412,HW372_17420,ECs_0514
ECD_00413,HW372_17415,ECs_0515
ECD_00414,HW372_17410,ECs_0516
ECD_00415,HW372_17405,ECs_0517
ECD_00416,HW372_17400,ECs_0518
ECD_00417,HW372_17395,ECs_0519
ECD_00418,HW372_17390,ECs_0520
ECD_00419,HW372_17385,ECs_0521
ECD_00420,HW372_17380,ECs_0522
ECD_00421,HW372_17375,ECs_0523
ECD_00422,HW372_17370,ECs_0524
ECD_00423,HW372_17365,ECs_0525
ECD_00424,HW372_17360,ECs_0526
ECD_00425,HW372_17355,ECs_0527
ECD_00426,HW372_17350,ECs_0528
ECD_00427,HW372_17345,ECs_0529
ECD_00428,HW372_17340,ECs_0530
ECD_00429,HW372_17335,ECs_0531
ECD_00430,HW372_17330,ECs_0532
ECD_00431,HW372_17325,ECs_0533
ECD_00432,HW372_17320,ECs_0534
ECD_00433,HW372_17315,ECs_0535
ECD_00434,HW372_17305,ECs_0536
ECD_00435,HW372_17300,ECs_0537
ECD_00436,HW372_17295,ECs_0538
ECD_00437,HW372_17290,ECs_0539
ECD_00438,HW372_17285,ECs_0545
ECD_00439,HW372_17275,ECs_0551
ECD_00440,HW372_17270,ECs_0552
ECD_00441,HW372_17265,ECs_0553
ECD_00442,HW372_17260,ECs_0554
ECD_00443,HW372_17255,ECs_0555
ECD_00444,HW372_17250,ECs_0556
ECD_00445,HW372_17245,ECs_0557
ECD_00446,HW372_17240,ECs_0558
ECD_00447,HW372_17235,ECs_0559
ECD_00448,,ECs_0560
ECD_00449,,
ECD_00450,,
ECD_00451,,ECs_0561
ECD_00452,,ECs_0563
ECD_00453,HW372_17230,ECs_0564
ECD_00454,HW372_17225,ECs_0565
ECD_00455,HW372_17220,ECs_0566
ECD_00456,HW372_17215,ECs_0567
ECD_00457,HW372_17210,ECs_0568
ECD_00458,HW372_17205,ECs_0569
ECD_00459,HW372_17200,ECs_0570
ECD_00460,,
ECD_00461,HW372_17195,ECs_0572
ECD_00462,HW372_17190,
ECD_00463,HW372_17185,ECs_0575
ECD_00464,HW372_17180,ECs_0576
ECD_00465,HW372_17175,ECs_0577
ECD_00466,HW372_17170,ECs_0578
ECD_00467,HW372_17165,ECs_0579
ECD_00468,HW372_17160,ECs_0580
ECD_00469,HW372_17155,ECs_0581
ECD_00470,HW372_17150,ECs_0582
ECD_00471,HW372_17145,ECs_0583
ECD_00472,HW372_17140,ECs_0584
ECD_00473,HW372_17135,ECs_0585
ECD_00474,HW372_17125,ECs_0586
ECD_00475,HW372_17120,ECs_0587
ECD_00476,HW372_17115,ECs_0588
ECD_00477,,ECs_0589
ECD_00478,HW372_17105,ECs_0590
ECD_00479,HW372_17100,ECs_0591
ECD_00480,,ECs_0592
ECD_00481,,ECs_0593
ECD_00482,,ECs_0594
ECD_00483,HW372_01560,ECs_0595
ECD_00484,,ECs_0596
ECD_00485,,ECs_0597
ECD_00486,,
ECD_00487,,
ECD_00488,,ECs_0805
ECD_00489,,ECs_1171
ECD_00490,HW372_13795,ECs_1196
ECD_00492,,
ECD_00493,HW372_09740,ECs_1614
ECD_00494,,ECs_1615
ECD_00495,HW372_09745,
ECD_00496,HW372_09750,
ECD_00497,,ECs_1616
ECD_00498,,ECs_1617
ECD_00499,,ECs_1618
ECD_00500,HW372_13775,ECs_1619
ECD_00501,HW372_13770,ECs_5715
ECD_00502,HW372_13765,ECs_1084
ECD_00506,HW372_13755,
ECD_00507,HW372_13750,ECs_0819
ECD_00508,,
ECD_00509,HW372_13740,ECs_1625
ECD_00510,,
ECD_00511,,
ECD_00513,,
ECD_00530,,
ECD_00531,HW372_17050,ECs_0608
ECD_00532,HW372_17045,ECs_0609
ECD_00533,HW372_17040,ECs_0610
ECD_00534,HW372_17035,ECs_0611
ECD_00535,HW372_17030,ECs_0612
ECD_00536,HW372_17025,ECs_0613
ECD_00537,HW372_17020,ECs_0614
ECD_00538,HW372_17015,ECs_0615
ECD_00539,HW372_17010,ECs_0616
ECD_00540,HW372_17005,ECs_0617
ECD_00541,HW372_17000,ECs_0618
ECD_00542,HW372_16995,ECs_0619
ECD_00543,,
ECD_00547,HW372_16990,ECs_0621
ECD_00549,HW372_16985,ECs_0622
ECD_00550,HW372_16980,ECs_0623
ECD_00551,HW372_16975,ECs_0624
ECD_00552,HW372_16970,ECs_5381
ECD_00553,HW372_16965,ECs_0625
ECD_00554,HW372_16960,ECs_0626
ECD_00555,HW372_16955,ECs_0627
ECD_00556,HW372_16950,ECs_0628
ECD_00557,HW372_16945,ECs_0629
ECD_00558,HW372_16940,ECs_0630
ECD_00559,HW372_16935,ECs_0631
ECD_00560,HW372_16930,ECs_0632
ECD_00561,HW372_16925,ECs_0633
ECD_00562,HW372_16920,ECs_0634
ECD_00563,HW372_16915,ECs_0635
ECD_00564,HW372_16910,ECs_0636
ECD_00566,HW372_16900,ECs_5382
ECD_00567,HW372_16895,ECs_0638
ECD_00568,HW372_16890,ECs_0639
ECD_00569,HW372_16885,ECs_0640
ECD_00570,HW372_16880,ECs_0641
ECD_00573,HW372_16870,ECs_0643
ECD_00574,HW372_16865,ECs_0644
ECD_00575,HW372_16860,ECs_0645
ECD_00576,HW372_16855,ECs_0646
ECD_00577,,ECs_0647
ECD_00578,HW372_16850,ECs_0649
ECD_00579,HW372_16845,ECs_0650
ECD_00580,HW372_16840,ECs_0651
ECD_00581,HW372_16835,ECs_0652
ECD_00582,HW372_16830,ECs_0653
ECD_00583,HW372_16825,ECs_0654
ECD_00584,HW372_16820,ECs_0655
ECD_00585,HW372_16815,ECs_0656
ECD_00586,HW372_16810,ECs_0657
ECD_00589,HW372_16805,ECs_0658
ECD_00590,HW372_16800,ECs_0659
ECD_00591,HW372_16795,ECs_0660
ECD_00592,HW372_16790,ECs_0661
ECD_00593,HW372_16785,ECs_0662
ECD_00594,HW372_16780,ECs_0663
ECD_00595,HW372_16775,ECs_0664
ECD_00596,HW372_16770,ECs_0665
ECD_00597,HW372_16765,ECs_0666
ECD_00598,HW372_16875,ECs_0642
ECD_00599,HW372_16755,ECs_0668
ECD_00600,HW372_16750,ECs_0669
ECD_00601,HW372_16745,ECs_0670
ECD_00602,HW372_16740,ECs_0671
ECD_00603,HW372_16735,ECs_0672
ECD_00604,HW372_16730,ECs_0673
ECD_00605,HW372_16725,ECs_0674
ECD_00606,HW372_16720,ECs_0675
ECD_00607,HW372_16715,ECs_0676
ECD_00608,HW372_16710,ECs_0677
ECD_00609,HW372_16705,ECs_0678
ECD_00610,HW372_16700,ECs_0679
ECD_00611,HW372_16695,ECs_0680
ECD_00612,HW372_16690,ECs_0681
ECD_00614,,ECs_0683
ECD_00615,,ECs_0684
ECD_00616,HW372_10900,ECs_0689
ECD_00617,HW372_16685,ECs_0690
ECD_00620,,
ECD_00621,HW372_16675,ECs_0692
ECD_00622,HW372_16670,ECs_0693
ECD_00623,HW372_16665,ECs_0694
ECD_00624,HW372_16660,
ECD_00625,HW372_16655,ECs_0695
ECD_00626,HW372_16650,ECs_0696
ECD_00627,HW372_16645,ECs_0697
ECD_00628,HW372_16640,ECs_0698
ECD_00629,HW372_16635,ECs_0699
ECD_00630,HW372_16630,ECs_0700
ECD_00631,HW372_16590,ECs_0704
ECD_00632,HW372_16585,ECs_0705
ECD_00633,HW372_16580,ECs_0706
ECD_00634,HW372_16575,ECs_0707
ECD_00635,HW372_16570,ECs_0708
ECD_00636,HW372_16565,ECs_0709
ECD_00637,HW372_16515,ECs_0710
ECD_00638,HW372_16510,
ECD_00639,HW372_16505,ECs_0713
ECD_00640,HW372_16500,ECs_0714
ECD_00641,HW372_16490,ECs_0715
ECD_00642,HW372_16485,ECs_0716
ECD_00643,HW372_16480,ECs_0717
ECD_00644,HW372_16475,ECs_0718
ECD_00645,HW372_16470,ECs_0719
ECD_00646,,
ECD_00647,,
ECD_00648,HW372_16465,ECs_0720
ECD_00649,HW372_16460,ECs_0721
ECD_00650,,
ECD_00651,HW372_16450,ECs_0722
ECD_00652,HW372_16445,ECs_0723
ECD_00653,HW372_16440,ECs_0724
ECD_00654,HW372_16435,ECs_0725
ECD_00655,HW372_16430,ECs_0726
ECD_00656,HW372_16425,ECs_0727
ECD_00657,HW372_16420,ECs_0728
ECD_00658,,
ECD_00659,,
ECD_00660,,
ECD_00661,,ECs_0730
ECD_00662,,
ECD_00663,,
ECD_00664,,
ECD_00666,,
ECD_00667,HW372_16415,ECs_0732
ECD_00668,HW372_16410,ECs_0733
ECD_00669,HW372_16405,ECs_0734
ECD_00670,HW372_16400,ECs_0735
ECD_00671,HW372_16395,ECs_0736
ECD_00672,HW372_16390,ECs_0737
ECD_00673,HW372_16385,ECs_0738
ECD_00674,HW372_16380,ECs_0739
ECD_00675,HW372_16375,ECs_0740
ECD_00676,HW372_03430,ECs_0741
ECD_00677,HW372_03435,ECs_0742
ECD_00678,,
ECD_00679,,
ECD_00680,HW372_16365,ECs_0745
ECD_00681,HW372_16355,ECs_0746
ECD_00682,HW372_16350,ECs_0747
ECD_00683,HW372_16345,ECs_0748
ECD_00684,HW372_16340,ECs_0749
ECD_00685,HW372_16335,ECs_0751
ECD_00686,HW372_16330,ECs_0752
ECD_00687,HW372_16325,ECs_0753
ECD_00688,HW372_16320,ECs_0754
ECD_00689,HW372_11890,ECs_4624
ECD_00690,,
ECD_00691,,
ECD_00692,HW372_16310,ECs_0768
ECD_00693,HW372_16305,ECs_0769
ECD_00694,HW372_16300,ECs_5391
ECD_00695,HW372_16295,ECs_0770
ECD_00696,HW372_16290,ECs_0771
ECD_00697,HW372_16285,ECs_0772
ECD_00698,HW372_16280,ECs_0773
ECD_00699,HW372_16275,ECs_0774
ECD_00700,HW372_16270,ECs_0775
ECD_00701,HW372_16265,ECs_0776
ECD_00702,HW372_16260,ECs_0777
ECD_00703,HW372_16220,ECs_0778
ECD_00704,HW372_16215,ECs_0779
ECD_00705,,ECs_0780
ECD_00706,HW372_16205,ECs_0781
ECD_00707,HW372_16200,ECs_0782
ECD_00708,HW372_16195,ECs_0783
ECD_00725,HW372_16110,ECs_0800
ECD_00740,HW372_16105,ECs_0851
ECD_00741,HW372_16095,ECs_0852
ECD_00742,HW372_16090,ECs_0853
ECD_00743,HW372_16085,ECs_0854
ECD_00744,HW372_16080,ECs_0855
ECD_00745,HW372_16075,ECs_0856
ECD_00746,HW372_16070,ECs_0857
ECD_00747,HW372_16065,ECs_0858
ECD_00748,HW372_16060,ECs_0859
ECD_00749,HW372_16055,ECs_0860
ECD_00750,HW372_16050,ECs_0861
ECD_00751,HW372_16045,ECs_0862
ECD_00752,HW372_16040,ECs_0863
ECD_00753,HW372_16035,ECs_0864
ECD_00754,HW372_16030,ECs_0865
ECD_00755,HW372_16025,ECs_0866
ECD_00756,HW372_16020,ECs_0867
ECD_00757,HW372_16015,ECs_0868
ECD_00758,HW372_16010,ECs_0869
ECD_00759,HW372_16005,ECs_0870
ECD_00760,HW372_16000,ECs_0871
ECD_00761,HW372_15995,ECs_0872
ECD_00762,HW372_15990,ECs_0873
ECD_00763,HW372_15985,ECs_0874
ECD_00764,HW372_15980,ECs_0875
ECD_00765,,
ECD_00766,HW372_15970,ECs_0877
ECD_00767,HW372_15965,ECs_0878
ECD_00768,HW372_15960,ECs_0879
ECD_00769,HW372_15955,ECs_0880
ECD_00770,HW372_15950,ECs_0881
ECD_00771,HW372_15945,ECs_0882
ECD_00772,HW372_15940,ECs_0883
ECD_00773,HW372_15935,ECs_0884
ECD_00774,HW372_15930,ECs_0885
ECD_00775,HW372_15925,ECs_0886
ECD_00776,HW372_15920,ECs_0887
ECD_00777,HW372_15915,ECs_0888
ECD_00778,HW372_15910,ECs_0889
ECD_00779,HW372_15905,ECs_0890
ECD_00780,HW372_15900,ECs_0891
ECD_00781,HW372_15890,ECs_0892
ECD_00782,HW372_15885,ECs_0893
